variable_name,description,data_type,enumerations,notes
participant_id,Subject/Participant Identifier (primary key),string,,anticipate using RC-assigned ID prefixed by gregor_center value
internal_project_id,An identifier used by GREGoR research centers to identify a set of participants for their internal tracking,string,,
gregor_center,GREGoR Center to which the participant is originally associated,string,"{'BCM': 'BCM', 'BROAD': 'BROAD', 'CNH_I': 'CNH_I', 'UW_CRDR': 'UW_CRDR', 'GSS': 'GSS', 'UW_DCC': 'UW_DCC'}",
consent_code,Consent group pertaining to this participant's data,string,"{'GRU': 'GRU', 'HMB': 'HMB'}",
recontactable,Is the originating GREGoR Center likely able to recontact this participant,string,"{'Yes': 'Yes', 'No': 'No', 'Unknown': 'Unknown'}",
prior_testing,Text description of any genetic testing for individual conducted prior to enrollment,string,,
pmid_id,Case specific PubMed ID if applicable,string,,Publication which included participant;  Used for publications which include participant known prior to or after inclusion in GREGoR
family_id,Identifier for family,string,,
paternal_id,participant_id for father; 0 if not available,string,,intent is to be able to create .ped file format from consortium data;   Can enter 0 for mother or father not present
maternal_id,participant_id for mother; 0 if not available,string,,intent is to be able to create .ped file format from consortium data;   Can enter 0 for mother or father not present
twin_id,"participant_id for twins, triplets, etc; 0 if not available",string,,"may be monozygotic, dizygotic, or polyzygotic"
proband_relationship,"Text description of individual relationship to proband in family, especially useful to capture relationships when connecting distant relatives and connecting relatives not studied",string,"{'Self': 'Self', 'Mother': 'Mother', 'Father': 'Father', 'Sibling': 'Sibling', 'Child': 'Child', 'Maternal Half Sibling': 'Maternal Half Sibling', 'Paternal Half Sibling': 'Paternal Half Sibling', 'Maternal Grandmother': 'Maternal Grandmother', 'Maternal Grandfather': 'Maternal Grandfather', 'Paternal Grandmother': 'Paternal Grandmother', 'Paternal Grandfather': 'Paternal Grandfather', 'Maternal Aunt': 'Maternal Aunt', 'Maternal Uncle': 'Maternal Uncle', 'Paternal Aunt': 'Paternal Aunt', 'Paternal Uncle': 'Paternal Uncle', 'Niece': 'Niece', 'Nephew': 'Nephew', 'Maternal 1st Cousin': 'Maternal 1st Cousin', 'Paternal 1st Cousin': 'Paternal 1st Cousin', 'Other': 'Other', 'Unknown': 'Unknown'}","limit enumerated fields to values in seqr, and use the proband_relationship_detail for other options"
proband_relationship_detail,Other proband relationship not captured in enumeration above,string,,keeping because not all relationships can be captured in proband_relationship (a way to describe 'other')
sex,"Biological sex assigned at birth (aligned with All of Us). If individual has a known DSD / not expected sex chromosome karyotype, this can be noted in the phenotype information section.",string,"{'Female': 'Female', 'Male': 'Male', 'Unknown': 'Unknown'}",
sex_detail,"Optional free-text field to describe known discrepancies between 'sex' value (female=>XX, male=>XY) and actual sex chromosome karyotype",string,,
reported_race,Self/submitter-reported race (OMB categories),string,"{'American Indian or Alaska Native': 'American Indian or Alaska Native', 'Asian': 'Asian', 'Black or African American': 'Black or African American', 'Native Hawaiian or Other Pacific Islander': 'Native Hawaiian or Other Pacific Islander', 'Middle Eastern or North African': 'Middle Eastern or North African', 'White': 'White', 'Unknown': 'Unknown'}",
reported_ethnicity,Self/submitter-reported ethnicity (OMB categories),string,"{'Hispanic or Latino': 'Hispanic or Latino', 'Not Hispanic or Latino': 'Not Hispanic or Latino', 'Unknown': 'Unknown'}",
ancestry_detail,Additional specific ancestry description free text beyond what is captured by OMB race/ethnicity categories,string,,
age_at_last_observation,"Age at last observation, aka age in years at the last time the center can vouch for the accuracy phenotype data. For conditions with later age of onset, this field lets users know if individuals marked as unaffected were younger or older than the age when the phenotype is expected to appear.",number,,
affected_status,Indicate affected status of individual (overall with respect to primary phenotype in the family). Note: Affected participants must have entry in phenotype table.,string,"{'Affected': 'Affected', 'Unaffected': 'Unaffected', 'Possibly affected': 'Possibly affected', 'Unknown': 'Unknown'}","useful from a ped file point of view;
general agreement to keep; phenotype table captures details and this is an overall status"
phenotype_description,human-readable 'Phenotypic one-line summary' for why this individual is of interest. Could be the same as the term_details value in the Phenotype table. Strongly encourage/required for proband.,string,,"For unaffected/relatives, can note 'parent of ...' or 'relative of ...'"
age_at_enrollment,age in years at which consent was originally obtained,number,,
